BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202003,28,1843,202003,28,1844,146467,880149,ILLINOIS,17,2020,March,Tornado,C,73,HENRY,DVN,3/28/20 18:43,CST-6,3/28/20 18:44,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EFU,1.07,10,,,,,2,WSW,CAMBRIDGE,2,W,CAMBRIDGE,41.28,-90.24,41.296,-90.2313,A strong low pressure system tracked from southwest Iowa to north central Iowa Saturday afternoon and evening. Storms developed and moved across a warm front in the area that resulted in two tornadoes touching down in northwest Illinois.Two additional tornadoes were reported in eastern Iowa.,Spotter reports and photos confirm that a brief tornado occurred southwest of Cambridge Illinois on Saturday evening. There was no observable damage from which the NWS could assign an EF-scale rating for the tornado.,CSV
202003,28,1920,202003,28,1922,146467,880152,ILLINOIS,17,2020,March,Tornado,C,195,WHITESIDE,DVN,3/28/20 19:20,CST-6,3/28/20 19:22,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,2.17,20,,,,,2,E,LEON CORNERS,4,NE,LEON CORNERS,41.6003,-89.8725,41.6313,-89.8658,A strong low pressure system tracked from southwest Iowa to north central Iowa Saturday afternoon and evening. Storms developed and moved across a warm front in the area that resulted in two tornadoes touching down in northwest Illinois.Two additional tornadoes were reported in eastern Iowa.,An EF-1 tornado with estimated wind speeds of 90 MPH. The tornado caused damage to a farm outbuilding and uprooted trees at a farmstead. The tornado flipped a farm irrigator before lifting.,CSV
202007,15,1547,202007,15,1548,150236,905890,ILLINOIS,17,2020,July,Tornado,C,117,MACOUPIN,LSX,7/15/20 15:47,CST-6,7/15/20 15:48,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,EFU,0.15,15,,,,,3,ESE,PALMYRA ZELMER ARPT,3,ESE,PALMYRA ZELMER ARPT,39.4062,-89.9277,39.4077,-89.9258,A strong cold front moved through the region triggering showers and storms. Some of the storms produced damaging winds and a couple of tornadoes.,"Two spotters reported a tornado briefly touched down in a field verified with a picture.  This tornado touched down northeast of Hettick, IL, southwest of Otter Lake.  The tornado was very short lived and did not damage any rating indicators, thus it will be labeled an EF-unknown.",CSV
202007,15,1618,202007,15,1625,150236,905911,ILLINOIS,17,2020,July,Tornado,C,135,MONTGOMERY,LSX,7/15/20 16:18,CST-6,7/15/20 16:25,0,0,0,0,0.00K,0.00K,Emergency Manager,,,,,EF0,3.89,300,ILX,IL,167,SANGAMON,4,NW,FARMERSVILLE,5,WNW,WHITE OAK,39.4725,-89.6871,39.5239,-89.6576,A strong cold front moved through the region triggering showers and storms. Some of the storms produced damaging winds and a couple of tornadoes.,"A tornado developed about 3 miles north-northwest of Farmersville, Illinois, near the intersection of Rovey Lane and East 1st Road. A few storm chasers captured video of the tornado as it moved northeast and then north toward the Montgomery and Sangamon County line. On video the tornado appeared to be multivortex and violent, yet damage in the St. Louis county warning area was limited to a few broken tree branches, flattened corn and the partial destruction of a small outbuilding. Therefore, it was rated as an EF-0 in Montgomery County with a path length of 3.89 miles and a max path width of 300 yards. The tornado continued north into Sangamon County (WFO Central IL CWA) before lifting and dissipating about 2.4 miles south of Divernon. Overall, the tornado was rated EF0 with a total path length of 4.24 miles and a max path width of 300 yards. No deaths or injuries were reported.",CSV
202003,28,1639,202003,28,1640,146358,879409,ILLINOIS,17,2020,March,Tornado,C,95,KNOX,ILX,3/28/20 16:39,CST-6,3/28/20 16:40,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,EFU,0.12,10,,,,,2,SW,ONEIDA,1,SW,ONEIDA,41.0624,-90.238,41.0636,-90.2364,"The airmass across central Illinois became highly unstable and sheared during the afternoon of March 28th as a warm front lifted toward southern Wisconsin.  Due to a strong mid-level cap, thunderstorms failed to initiate until a dryline approached from the west by late afternoon into the evening.  The storms formed into a broken line as they pushed through the Illinois River Valley, spawning three tornadoes.",A tornado briefly touched down in an open field 1 mile southwest of Oneida at 5:39 PM CDT.  No damage was observed before the tornado quickly dissipated one minute later.,CSV
202003,28,1901,202003,28,1904,146358,879410,ILLINOIS,17,2020,March,Tornado,C,57,FULTON,ILX,3/28/20 19:01,CST-6,3/28/20 19:04,0,0,0,0,100.00K,0.00K,Emergency Manager,,,,,EF1,2.06,100,,,,,1,S,IPAVA,2,ENE,IPAVA,40.3361,-90.319,40.3567,-90.2908,"The airmass across central Illinois became highly unstable and sheared during the afternoon of March 28th as a warm front lifted toward southern Wisconsin.  Due to a strong mid-level cap, thunderstorms failed to initiate until a dryline approached from the west by late afternoon into the evening.  The storms formed into a broken line as they pushed through the Illinois River Valley, spawning three tornadoes.","A tornado touched down 1.1 miles south-southeast of Ipava at 8:01 PM CDT.  The tornado damaged a barn, the roofs of two houses, a front porch, a gazebo, and numerous trees and outbuildings as it tracked northeastward across US-136 before dissipating 1.8 miles east of Ipava at 8:04 PM CDT.",CSV
202003,28,1958,202003,28,2003,146358,879411,ILLINOIS,17,2020,March,Tornado,C,143,PEORIA,ILX,3/28/20 19:58,CST-6,3/28/20 20:03,0,0,0,0,300.00K,0.00K,NWS Storm Survey,,,,,EF1,3.27,50,,,,,1,NNW,BARTONVILLE,1,SSW,WEST PEORIA,40.6571,-89.6754,40.6922,-89.6334,"The airmass across central Illinois became highly unstable and sheared during the afternoon of March 28th as a warm front lifted toward southern Wisconsin.  Due to a strong mid-level cap, thunderstorms failed to initiate until a dryline approached from the west by late afternoon into the evening.  The storms formed into a broken line as they pushed through the Illinois River Valley, spawning three tornadoes.","A tornado touched down 0.3 miles east of the Peoria Airport at 8:58 PM CDT.  The tornado tracked northeastward, doing minor damage to house roofs, fences and siding in a subdivision. Business roofs were then damaged at Madison Park Shopping Center and numerous trees at Madison Park Golf Course.  Several roofs were damaged in a nearby subdivision before the tornado dissipated near the eastern portion of St. Mary's Cemetery at 9:03 PM CDT.",CSV
202007,21,1518,202007,21,1519,150859,909308,ILLINOIS,17,2020,July,Tornado,C,135,MONTGOMERY,LSX,7/21/20 15:18,CST-6,7/21/20 15:19,0,0,0,0,0.00K,0.00K,Emergency Manager,,,,,EFU,0.2,10,,,,,1,N,WHITE OAK,1,NNE,WHITE OAK,39.5135,-89.5666,39.5151,-89.5634,A remnant MCV moved across the region triggering showers and storms. Some of the storms became severe and produced damaging winds and large hail.,"Emergency management relayed a report of a brief tornado just northeast of intersection of Black Diamond Trail and North 35th Avenue. The tornado occurred over a field, resulting in no observed damage. The tornado was rated EFU (Unknown) with a path length 0.2 miles and max path width of 10 yards.",CSV
202003,19,1444,202003,19,1446,145793,875714,ILLINOIS,17,2020,March,Tornado,C,145,PERRY,PAH,3/19/20 14:44,CST-6,3/19/20 14:46,1,0,0,0,300.00K,0.00K,NWS Storm Survey,,,,,EF1,3.17,125,,,,,1,WSW,SUNFIELD,2,ENE,SUNFIELD,38.0649,-89.2442,38.0826,-89.1904,"Short lines of thunderstorms with embedded circulations moved across southern Illinois during the afternoon of the 19th. Widespread heavy rain caused isolated flash flooding. The storms occurred just south of a warm front under a very strong southwest low level flow, around 60 knots at 850 mb. An upper level disturbance over the Ozark Mountains contributed to the storms.","The tornado started near the community of Sunfield on U.S. Highway 51. At least a dozen homes were damaged, including four with major structural damage. This included numerous broken windows and roof damage. One home had part of its roof decking removed, and another had its attached garage blown apart from the house. At least five camper trailers were blown over, with one lofted over 200 yards across a field. Several outbuildings and garages were partly or completely levelled. Dozens of trees were snapped or uprooted. Some power lines were down. A trained spotter witnessed the tornado. The tornado path crossed Du Quoin Lake and ended on Highway 154. Peak winds were estimated near 100 mph.",CSV
202003,19,1522,202003,19,1523,145793,875715,ILLINOIS,17,2020,March,Tornado,C,81,JEFFERSON,PAH,3/19/20 15:22,CST-6,3/19/20 15:23,0,0,0,0,3.00K,0.00K,NWS Storm Survey,,,,,EF0,0.58,75,PAH,IL,65,HAMILTON,3,SSE,BELLE RIVE,3,SSE,BELLE RIVE,38.191,-88.712,38.1959,-88.7033,"Short lines of thunderstorms with embedded circulations moved across southern Illinois during the afternoon of the 19th. Widespread heavy rain caused isolated flash flooding. The storms occurred just south of a warm front under a very strong southwest low level flow, around 60 knots at 850 mb. An upper level disturbance over the Ozark Mountains contributed to the storms.","Most of the damage path occurred in Hamilton County, however the tornado started in extreme eastern Jefferson County.  In the short time the tornado was in Jefferson County, large branches were broken. Peak winds were in the EF-0 category in Jefferson County, but the tornado strengthened to EF-1 in Hamilton County. The tornado entered Hamilton County just west of the community of Dahlgren.",CSV
